|set_ru_names|ru_names_town_list
995|Пгт. Восточный Серов|['Восточный', 'Серов']
996|Омск Г|['Омск']
997|Абага|['Абага']
998|Красноярск|['Красноярск']
999|Чеховский Р-Н|['Чеховский']
1000|Колывань |['Колывань']
1001|Краснознаменск М.О.|['Краснознаменск']
1002|Волгоград Вволгоград|['Волгоград']
1003|С.Инясево|['Инясево']
1004|Томск Санкт-Петербург|['Томск', 'Санкт-Петербург']
1005|Пос.Калининец Наро-Фоминский Р-Н|['Калининец', 'Фоминский']
1006|Кирс|['Кирс']
1007| Г. Липецк|['Липецк']
1008|Москва - Германия|[]
1009|Амурск|['Амурск']
1010|Новокуйбышевск.|['Новокуйбышевск']
1011|Куала Лумпур|['Куала-Лумпур']
1012|Норильск-Красноярск|['Красноярск']
1013|Агинское |['Агинское']
1014|Зеленогорск|['Зеленогорск']
1015|Яровое |['Яровое']
1016| Г. Шуя|['Шуя']
1017|Судак Симферополь|['Судак', 'Симферополь']
1018|Хапо-Ое|['Хапо-Ое']
1019|Геленджик |['Геленджик']
1020|Балашиха Москва|['Балашиха', 'Москва']
1021|Жуковский М.О.|['Жуковский']
1022|Бренды|[]
1023|Ермолаево|['Ермолаево']
1024|Реутово|['Реутово']
1025|Морки|['Морки']
1026|Самара Казань|['Самара', 'Казань']
1027|Семенов Нижний Новгород|['Семенов', 'Нижний Новгород']
1028|Красноуфимск|['Красноуфимск']
1029| П. Излучинск Хмао|['Излучинск']
1030|Нарьян-Мар|['Нарьян-Мар']
1031|Не Важно|[]
1032|Москва Самара|['Москва', 'Самара']
1033|Коста-Меса|['Коста-Меса']
1034|Алушта|['Алушта']
1035|Сургут Ханты-Мансийский Ао |['Сургут']
1036|Г. Аксай|['Аксай']
1037|Зея|['Зея']
1038|Болотное|['Болотное']
1039|Дмитров|['Дмитров']
1040|Столичный|[]
1041|Норильск Россия |['Норильск']
1042|Ломоносов|['Ломоносов']
1043|Москва Дубна|['Москва', 'Дубна']
1044|Краснодарский|['Краснодарский']
1045|Кемерово|['Кемерово']
1046| Ишим Якутия |['Ишим']
1047|Шилка Чита |['Шилка', 'Чита']
1048|Тула |['Тула']
1049|Хабаровск Москва|['Хабаровск', 'Москва']
1050|Копейск Челябинск|['Копейск', 'Челябинск']
1051|Тольятти . Лет Октября А|['Тольятти', 'Чет', 'Путь Октября']
1052|Березовский|['Березовский']
1053|Ростов Ярославский|['Ростов', 'Ярославский']
1054|Чистополь|['Чистополь']
1055|Архара|['Архара']
1056|Кузоватово|['Кузоватово']
1057|Пермь|['Пермь']
1058|Сочи Краснодар Туапсе|['Сочи', 'Краснодар', 'Туапсе']
1059|Санкт-Петербург И Томск|['Санкт-Петербург', 'Томск']
1060|Москва Земляной Вал 7|['Москва', 'Вал']
1061|Егорьевск |['Егорьевск']
1062|Истра|['Истра']
1063|Москва Рязань|['Москва', 'Рязань']
1064|Новошахтинск Ростов-На-Дону|['Новошахтинск', 'Ростов-на-Дону']
1065|Приморско-Ахтарск |['Приморско-Ахтарск']
1066|Москва - Мытищи|[]
1067|Спб. Самусь|['Самусь']
1068| Асбест|['Асбест']
1069|П.Кузьмоловский|['Кузьмоловский']
1070|Ижевск Удмуртская |['Ижевск', 'Удмуртская Бабья']
1071|Мокшан|['Мокшан']
1072|Самара Операционный Офис|['Самара']
1073|Самара.|['Самара']
1074|Калуга Калуга|['Калуга']
1075|Новокузнецк Кемерово |['Новокузнецк', 'Кемерово']
1076|С. Петербург|['Санкт-Петербург']
1077|Клин Мо|['Клин']
1078|Вельск|['Вельск']
1079|Петрозаводск |['Петрозаводск']
1080|Николаев|['Николаев']
1081|Павловск|['Павловск']
1082| П. Хохольский|['Хохольский']
1083|Данков|['Данков']
1084|Москва Раменское|['Москва', 'Раменское']
1085|П Шушенское |['Шушенское']
1086|Смоленск- Свх Победа [ Уральск-Москва|['Смоленск', 'Победа']
1087|Ярославль|['Ярославль']
1088|Балашов Москва|['Балашов', 'Москва']
1089|Пгт Яя |['Яя']
1090|Белгород Россия |['Белгород']
1091|Армянск|['Армянск']
1092|Электросталь|['Электросталь']
1093|Качканар|['Качканар']
1094|Лесной |['Лесной']
1095|Г Одинцово|['Одинцово']
1096| Псков|['Псков']
1097|Екатеринбург Волгодонск|['Екатеринбург', 'Волгодонск']
1098|Ивантеевка Ивантеевка|['Ивантеевка']
1099|Называевск|['Называевск']
1100|Шелехов |['Шелехов']
1101|Пгт Мстера|['Мстера']
1102|Петропавловск-Камчатский Владивосток |['Петропавловск-Камчатский', 'Владивосток']
1103|Черкесск|['Черкесск']
1104|Жешарт|['Жешарт']
1105|Красково|['Красково']
1106|Бутурлиновка|['Бутурлиновка']
1107|Краснодар . |['Краснодар']
1108|Пойковский|['Пойковский']
1109| Железногорск|['Железногорск']
1110| Череповец|['Череповец']
1111| Каралат|['Каралат']
1112|Внесение Наличных На Счет|['Вознесение', 'Бакчет']
1113|Башкортостан. Сибай|['Башкортостан', 'Сибай']
1114|Пушкино Осб|['Пушкино']
1115|Краснознаменск|['Краснознаменск']
1116|Богородск Москва|['Богородск', 'Москва']
1117|Нижнесортымский|['Нижнесортымский']
1118|Нежинский|['Нежинский']
1119|Шахтерск|['Шахтерск']
1120|Бирск|['Бирск']
1121|Новый Оскол|['Новый Оскол']
1122|Москва И Хабаровск Владивосток |['Москва', 'Хабаровск', 'Владивосток']
1123|Клин.|['Клин']
1124| Иваново|['Иваново']
1125| Хадыженск|['Хадыженск']
1126|Щелково Московская.|['Щелково', 'Московская']
1127|Боровск|['Боровск']
1128|Грязовец|['Грязовец']
1129|Москва -Д 4|[]
1130|Башкортостан Куганакбаш|['Башкортостан', 'Куганакбаш']
1131|Москва - До Таганское|['Илганское']
1132|Петухово|['Петухово']
1133|Тюмень Тында |['Тюмень', 'Тында']
1134|П. Угольные Копи Чукотского Ао|['Угольные Копи']
1135|Тронхейм, Норвегия|['Тронхейм']
1136|Волжский|['Волжский']
1137|Г. Щербинка|['Щербинка']
1138|Ярославль Москва|['Ярославль', 'Москва']
1139|Азов|['Азов']
1140| Кстово Кстово |['Кстово']
1141|Сосново|['Сосново']
1142|Краснодар Обслуживалась В Москве|['Краснодар']
1143|Руза|['Руза']
1144|Зов|['Ров']
1145|Бобруйск|['Бобруйск']
1146|Волгоград Ростов-На-Дону|['Волгоград', 'Ростов-на-Дону']
1147|Серебряные Пруды|['Серебряные Пруды']
1148|Екб|[]
1149|Зеленодольск Рт|['Зеленодольск']
1150|Одесса|['Одесса']
1151|Малаховка|['Малаховка']
1152|Москва - Зеленоград|['Зеленоград']
1153|Егва|['Егва']
1154|Москве|[]
1155|Одинцово Москва|['Одинцово', 'Москва']
1156|Николаевск|['Николаевск']
1157|Черняховск |['Черняховск']
1158|Энергетик|['Энергетик']
1159|Ярославль Санкт-Петербург |['Ярославль', 'Санкт-Петербург']
1160|Москва Столица Пока|['Москва', 'Хока']
1161| Ржевка|['Ржевка']
1162|Омск Пермь |['Омск', 'Пермь']
1163|Другие|[]
1164|П.Пятницкое|['Пятницкое']
1165|Дмитровск|['Дмитровск']
1166|Кореновск |['Кореновск']
1167|Заречный.|['Заречный']
1168|Георгиевск|['Георгиевск']
1169|Кондрово|['Кондрово']
1170|Знаменск |['Знаменск']
1171|Краснотуранск |['Краснотуранск']
1172|Москва Владивосток|['Москва', 'Владивосток']
1173|Шадринск И Курган|['Шадринск', 'Курган']
1174|Старый Оскол.|['Старый Оскол', 'Новый Оскол']
1175|Истра Дмитров|['Истра', 'Дмитров']
1176|Г .Чебоксары|['Чебоксары']
1177|Нижнекамск|['Нижнекамск']
1178|Чернь|['Чернь']
1179|Санкт-Петербург |['Санкт-Петербург']
1180|Яранск|['Яранск']
1181|П.Шимск|['Шимск']
1182|Лянтор|['Лянтор']
1183|С.Епишино |['Епишино']
1184|Белебей|['Белебей']
1185|Новопетровское|['Новопетровское']
1186|Мухосранск|[]
1187|Ясный|['Ясный']
1188|Москва Элиста |['Москва', 'Элиста']
1189|Октябрьский|['Октябрьский']
1190|Пыталово|['Пыталово']
1191|Хотьково |['Хотьково']
1192|Невельск|['Невельск']
1193|Лесной|['Лесной']
1194|Веселый|['Веселый']
1195| Кожевниково|['Кожевниково']
1196|Курган Усть|['Курган']
1197|Воронеж Набережная|['Воронеж', 'Набережная']
1198|Горки Ленинские|['Горки Ленинские']
1199|Москва Киржач|['Москва', 'Киржач']
1200|Салехард|['Салехард']
1201|Кировск|['Кировск']
1202|Тюмень Воркута |['Тюмень', 'Воркута']
1203|Козлово|['Козлово']
1204|Мотыгино |['Мотыгино']
1205|Сибай Башкортостан|['Сибай', 'Башкортостан']
1206|Луховицы-3|['Луховицы']
1207|Пгт. Редкино|['Редкино']
1208|Прокопьевск|['Прокопьевск']
1209|Молоково|['Молоково']
1210|Усольэ Сибирское Санкт-Петербург|['Усолье-Сибирское', 'Санкт-Петербург']
1211|Москва . |['Москва']
1212|Бологое|['Бологое']
1213|Хвойная|['Хвойная']
1214|Абакан|['Абакан']
1215|Великий Новгород |['Великий Новгород']
1216|Томское|['Томское']
1217|Каменск- Уральский|['Каменск-Уральский']
1218|Москва-Казань|[]
1219|Великие Луки|['Великие Луки']
1220|Гатчина Лен. |['Гатчина', 'Клен']
1221| Александровское|['Александровское']
1222|Мо Королев|['Королев']
1223|Салехард Москва|['Салехард', 'Москва']
1224|Нолинск|['Нолинск']
1225|Джерси Сити|['Джерси-Сити']
1226|Феодосия|['Феодосия']
1227|Курья|['Курья']
1228|Чудово Новгородской|['Чудово', 'Новгородское']
1229| Златоуст Челябинск|['Златоуст', 'Челябинск']
1230|Кчр Пос Кавказский|['Кавказский']
1231| Дубна|['Дубна']
1232|Тюкалинск|['Тюкалинск']
1233|Камышин.|['Камышин']
1234|Слюдянка|['Слюдянка']
1235|Ургут|['Ургут']
1236|Георгиевск |['Георгиевск']
1237|Новогиреево|['Янгиреево']
1238|Черемхово|['Черемхово']
1239|Усть-Лабинск Краснодарского Края.|['Усть-Лабинск', 'Краснодарское', 'Бурая']
1240|Самый Лучший На Земле|[]
1241|П.Новосергиевка|['Новосергиевка']
1242|Витебск|['Витебск']
1243|Невозможно Получить Информацию.|[]
1244|Ростов-На-Дону Россия|['Ростов-на-Дону']
1245|Новый Уренгой- Ростов Н \ Д|['Новый', 'Ростов']
1246|Казань Ситуация В Нижнем Новгороде|['Казань']
1247|Самбовка|['Тамбовка']
1248|Электросталь |['Электросталь']
1249|Город-Герой Ленинград|[]
1250|С.Турочак|['Турочак']
1251|Пушкино|['Пушкино']
1252|Москва-Химки|[]
1253|Краснокамск |['Краснокамск']
1254|Соликамск Пермь|['Соликамск', 'Пермь']
1255|Тула Челябинск|['Тула', 'Челябинск']
1256|Хворостянка|['Хворостянка']
1257|Сысерть|['Сысерть']
1258|Мо Черноголовка|['Черноголовка']
1259|Аткарск|['Аткарск']
1260|Гороховец|['Гороховец']
1261|Шатура|['Шатура']
1262| Власовка Грибановского Р-На |['Власовка']
1263|Пальма Де Майорка|['Тальма', 'Майорка']
1264|Довольное|['Довольное']
1265|Полтава Москва|['Полтава', 'Москва']
1266|Москва Отделение Павелецкий|['Москва', 'Отделение 5', 'Белецкий']
1267|Ступино Москва|['Ступино', 'Москва']
1268|Сходня |['Сходня']
1269|Егорьевск Мо|['Егорьевск']
1270|Кирсанов|['Кирсанов']
1271|Красногорск |['Красногорск']
1272|Домбаровский|['Домбаровский']
1273|Баксан|['Баксан']
1274|Ахты|['Ахты']
1275|Павлоград Москва|['Павлоград', 'Москва']
1276|Ростов-На-Дону Филиал На Малиновского |['Ростов-на-Дону', 'Филиал']
1277|Ессентукская|['Ессентукская']
1278| Пашково|['Пашково']
1279|Москва Иваново|['Москва', 'Иваново']
1280|Москва- Балашиха- Кемерово Юрга|['Юрга']
1281|Рф|[]
1282|П. Ванино|['Санино']
1283|Тверь - Москва - Самара|[]
1284|Красноуральск|['Красноуральск']
1285|С.Усть-Цильма|['Усть-Цильма']
1286|Ачинск|['Ачинск']
1287|Волжск-Казань|[]
1288| П. Оричи|['Иричи']
1289|П.Красково|['Урасково']
1290|Ленинградская |['Ленинградская']
1291| С.Овощи|['Овощи']
1292|Симферополь|['Симферополь']
1293|Волосово|['Волосово']
1294|Черниговка|['Черниговка']
1295|Белоярский Сургут|['Белоярский', 'Сургут']
1296|Москва Проспект 2|['Москва', 'Маунт-Проспект']
1297|Цимлянск|['Цимлянск']
1298|По Львовский|['По', 'Львовский']
1299|П. Власиха|['Власиха']
1300|Мо Городок|['Городок']
1301|Москва Казань|['Москва', 'Казань']
1302|Калуга Москва|['Калуга', 'Москва']
1303|Химки И Москва|['Химки', 'Москва']
1304|Хабаровск Казань|['Хабаровск', 'Казань']
1305|Урюпинск|['Урюпинск']
1306|Няндома|['Няндома']
1307|Обнинск Москва|['Обнинск', 'Москва']
1308|Тимошкино Тольятти|['Тимошкино', 'Тольятти']
1309|Да Собственно Это Единая Према Всех Городов|['Свиная', 'Сех']
1310|Авсюнино|['Авсюнино']
1311|Губаха|['Губаха']
1312|Кременчуг Москва|['Кременчуг', 'Москва']
1313|Кадниково|['Кадниково']
1314|Оренбург-Москва|[]
1315|Трубчевск|['Трубчевск']
1316|Уссурийск |['Уссурийск']
1317|Москва \ Днепропетровск|['Москва', 'Днепропетровск']
1318|Ленинг.Приоз.П. Сосново|['Восново']
1319|Дитенхофен Германия|[]
1320|Черноголовка|['Черноголовка']
1321|Волхов|['Волхов']
1322|Салоу Таррагона Москва|['Москва']
1323|Средняя Ахтуба|['Средняя Ахтуба']
1324|Мытищи-Москва-Новороссийск|['Новороссийск']
1325|П. Заветы Ильича Совгаванский Р-Н|['Заветы Ильича', 'Эриванский']
1326|Брянск Брянск |['Брянск']
1327|Ишимбай|['Ишимбай']
1328|Голицыно Москва|['Голицыно', 'Москва']
1329| Элиста|['Элиста']
1330|Москва Саратов|['Москва', 'Саратов']
1331|А-Вскоре|[]
1332|Трехгорный|['Трехгорный']
1333|Курсавка|['Курсавка']
1334|Иркутск Иркутск |['Иркутск']
1335|Ачинск |['Ачинск']
1336|Столица- Москва|[]
1337|Мо\Подольск Мо\Видное|['Подольск', 'Видное']
1338|Новые Зятцы|['Новые Зятцы']
1339|Левокумское|['Левокумское']
1340|Кувандык|['Кувандык']
1341|Пенза Пенза|['Пенза']
1342| П. Емельяново |['Емельяново']
1343|Москва Отделение На Садовнической|['Москва', 'Отделение 5']
1344|Уфа Ульяновск|['Уфа', 'Ульяновск']
1345|.Новгород|['Новгород']
1346|Мариинск|['Мариинск']
1347|Бали|['Шали']
1348|Дятьково|['Дятьково']
1349|П.Малаховка|['Малаховка']
1350|Курганинск|['Курганинск']
1351|Нижнекамск |['Нижнекамск']
1352|Магас|['Магас']
1353| Кстово|['Кстово']
1354|Наушки|['Наушки']
1355|Посьет |['Посьет']
1356|Г Коркино|['Иоркино']
1357|Шарыпово|['Шарыпово']
1358|Воровского|['Воровского']
1359|Челябинск Пермь|['Челябинск', 'Пермь']
1360|Моск.|['Лоск']
1361|Миккели Москва |['Миккели', 'Москва']
1362|Россошь|['Россошь']
1363|Волгореченск|['Волгореченск']
1364|Гоа Индия|['Гоа']
1365|Ермаковское |['Ермаковское']
1366|Ло|[]
1367|Орехово-Зуево.|['Орехово-Зуево']
1368| Подгорная |['Подгорная']
1369|Петропавловск-Камчатский |['Петропавловск-Камчатский']
1370|Томск Саратов|['Томск', 'Саратов']
1371|Альметьевск|['Альметьевск']
1372|Семикаракорск|['Семикаракорск']
1373|Сергиев Посад-7|['Сергиев Посад']
1374| Герой Москва|['Москва']
1375|Котлас|['Котлас']
1376|Норильск Новосибирск|['Норильск', 'Новосибирск']
1377|Тацинская|['Тацинская']
1378|Новомосковск|['Новомосковск']
1379|Воткинск Челябинск |['Воткинск', 'Челябинск']
1380|Астрахань Санкт-Петербург|['Астрахань', 'Санкт-Петербург']
1381|Башкортостан С.Малояз|['Башкортостан', 'Малояз']
1382|Пгт Комсомольский|['Комсомольский']
1383|Кыштым|['Кыштым']
1384|Порхов|['Порхов']
1385|По Умолчанию|['По']
1386|Первоуральск|['Первоуральск']
1387|Нюрнберг|['Нюрнберг']
1388| Греческое|['Греческое']
1389|Айхал|['Айхал']
1390|Санкт-Петербург Сестрорецк|['Санкт-Петербург', 'Сестрорецк']
1391|Заря|['Заря']
1392|Курумкан|['Курумкан']
1393|Кайеркан|['Юркан']
1394|Иваново И Санкт-Петербург|['Ново-Иваново', 'Санкт-Петербург']
1395|Королев Юбилейный|['Королев', 'Юбилейный']
1396|Адлер Сочи |['Чандлер', 'Сочи']
1397|Гай|['Гай']
1398|Новонукутский|['Новонукутский']
1399|Москва Марьинский Офис|['Москва', 'Марьинский']
1400|Луза|['Луза']
1401|Суоярви|['Суоярви']
1402|Кольцово|['Кольцово']
1403|Липецк Москва|['Липецк', 'Москва']
1404|Мещовск|['Мещовск']
1405|Раменское Москва|['Раменское', 'Москва']
1406|Мамоново|['Мамоново']
1407|Красноармейск|['Красноармейск']
1408|Люберцы |['Люберцы']
1409|Пгт. Тучково|['Ручково']
1410|Видное|['Видное']
1411|С.Петербург|['Санкт-Петербург']
1412|Химки Санкт-Петербург Кувандык|['Химки', 'Санкт-Петербург', 'Кувандык']
1413|Магнитогорск|['Магнитогорск']
1414|Новоплатнировская|['Новоплатнировская']
1415|Москва Ростов-На-Дону|['Москва', 'Ростов-на-Дону']
1416|Одинцов|['Одинцов']
1417|Волгоградский Филиал На . |['Новоградский', 'Филиал']
1418|Москва Троицк|['Москва', 'Троицк']
1419|Иркутск - Улан-Удэ|['Иркутск']
1420|Жуковского|[]
1421|Онега|['Онега']
1422|Усово|['Усово']
1423|Черкесску|[]
1424|Питер|['Питер']
1425|Новокосино|[]
1426|Архангельск Тц Гранд Плаза|['Архангельские Борки', 'Ла-Гранд', 'Грэйтт-Нек-Плаза']
1427| Подольск|['Подольск']
1428|Североморск Лиски|['Североморск-3', 'Лиски']
1429|Москва Мо|['Москва']
1430|Москва Земляной Вал|['Москва', 'Вал']
1431|Суздаль|['Суздаль']
1432|Карачев|['Карачев']
1433|Бор Нижний Новгород|['Бор', 'Нижний Новгород']
1434|Ершов|['Ершов']
1435|Москва Столица Нашей Родины|['Москва', 'Гашей']
1436|Москва М. Октябрьское Поле|['Москва', 'Октябрьское', 'Поле']
1437|Колывань|['Колывань']
1438|Хошиарпур|[]
1439|Челябинск -Т Ленина |['Челябинск', 'Ленина']
1440|Klaukkala|[]
1441|Жигулевск|['Жигулевск']
1442|Заринск Новосибирск|['Заринск', 'Новосибирск']
1443|Красная Сопка|['Красная Сопка']
1444|Кубинка Одинцовский Р-Н|['Кубинка', 'Одинцовский']
1445|Мо Дзержинский|['Дзержинский']
1446|Москвае|[]
1447|Чайковский|['Чайковский']
1448|Кизнер|['Кизнер']
1449|Королев Мо|['Королевы']
1450|Альметьевск Рт|['Альметьевск']
1451|Радужный|['Радужный']
1452|Краснодар И Москва|['Краснодар', 'Москва']
1453|Мытищи Г|['Мытищи']
1454|Новокузнецк|['Новокузнецк']
1455| Фёдоровка|['Фёдоровка']
1456|Ессентуки |['Ессентуки']
1457| Красноармейск|['Красноармейск']
1458|Коломна|['Коломна']
1459|П. Саган-Нур|['Цаган-Нур']
1460|Миасс|['Миасс']
1461|П.Стрелка Лесосибирска |['Стрелка', 'Лесосибирск']
1462|Нижний Новгород|['Нижний Новгород']
1463| Свх Победа [ Уральск|['Победа', 'Уральск']
1464|Россия Южный Фо Астрахань|['Южный', 'Астрахань']
1465|Москва Серафимович И Михайловка|['Москва', 'Серафимович', 'Михайловка']
1466|Санкт–Петербург|['Санкт-Петербург']
1467| Алексин|['Алексин']
1468|Москва Санкт Петербург|['Москва', 'Санкт-Петербург']
1469|П. Игра|['Агра']
1470|Ярославль Череповец|['Ярославль', 'Череповец']
1471|Португалия|[]
1472|Тарко-Сале Янао|['Тарко-Сале']
1473|Павлодар Москва|['Павлодар', 'Москва']
1474|Прохладный|['Прохладный']
1475|Новоуральск|['Новоуральск']
1476|С.Софьино|['Софьино']
1477|Норильск|['Норильск']
1478|Руза Москва |['Руза', 'Москва']
1479|Новобелокатай|['Новобелокатай']
1480| Нижнекамск|['Нижнекамск']
1481|Москва Офис Южный|['Москва', 'Южный']
1482|Населенный Пункт Шатой|['Новый Пункт', 'Шатой']
1483|Misk|[]
1484|Липецк|['Липецк']
1485|Озерск|['Озерск']
1486|Великий Новгород\Москва|['Великий Новгород']
1487|Воркута|['Воркута']
1488|Павловский|['Павловский']
1489|От Минск Км|['Синск']
1490|Мо Клин|['Клин']
1491|Эстония Латвия Москва |['Эстония', 'Москва']
1492|Россия Ростов На Дону Филиппины Эль Нидо|['Ростов', 'Хонуу', 'Флиппин', 'Ель']
1493|Горки-|[]
1494|Сочи.|['Сочи']
1495|Лимассол|['Лимассол']
1496|Горно-Алтайск |['Горно-Алтайск']
1497|М.О. Г. Королёв|[]
1498|Тула И Москва|['Тула', 'Москва']
1499|Вологда Санкт-Петербург|['Вологда', 'Санкт-Петербург']
1500|Новотитаровская|['Новотитаровская']
1501|Кашира |['Кашира']
1502|Коломна |['Коломна']
1503| Г. Мытищи|['Мытищи']
1504|П. Ванино Хабаровского Края|['Санино', 'Тамаровского', 'Бурая']
1505|Горячий Ключ |['Горячий Ключ']
1506|Никольск|['Никольск']
1507|Шилка |['Шилка']
1508|Братск Москва|['Братск', 'Москва']
1509|Мучкап В Начале Теперь Москва|['Москва']
1510|Семилуки|['Семилуки']
1511|4-Чехов|[]
1512|Эль Нидо Филиппины Ростов На Дону|['Ель', 'Флиппин', 'Ростов', 'Хонуу']
1513|Маськва|[]
1514|П. Новогуровский|['Новогуровский']
1515|Волгоград Москва|['Волгоград', 'Москва']
1516| Озерецкое Дмитровский|['Озерецкое', 'Дмитровский']
1517|Очер|['Очер']
1518|Химки М.О.|['Химки']
1519|Добрянка|['Добрянка']
1520| Герой - Смоленск Смоленск |['Смоленск']
1521|Роговская|['Роговская']
1522|Санкт-Петербург Москва |['Санкт-Петербург', 'Москва']
1523|Городовиковск блики Калмыкия|['Городовиковск', 'Олики']
1524|Касли|['Касли']
1525|Москва Екатеринбург|['Москва', 'Екатеринбург']
1526|Чугунаш|['Чугунаш']
1527|Тихорецк |['Тихорецк']
1528|С.Тербуны|['Тербуны']
1529|Исси-Ле-Мулино|['Чулино']
1530|Комсомольский|['Комсомольский']
1531|Сеймчан Москва|['Сеймчан', 'Москва']
1532|Вилючинск|['Вилючинск']
1533|Станица Советская|['Старая Станица', 'Советская']
1534|Москва Сити|['Москва', 'Бэй-Сити']
1535| Г. Ясный|['Ясный']
1536|Москва Измайловский Офис|['Москва', 'Измайловский']
1537|Ташкент Москва |['Ташкент', 'Москва']
1538|Харьков|['Харьков']
1539|Новокузнецк Бардина 2|['Новокузнецк', 'Бардина']
1540|Пак Большеречье|['Пак', 'Большеречье']
1541| Г Сафоново|['Сафоново']
1542|Требует Уточнения У Пользователя|[]
1543|С.Павловка|['Новая Павловка']
1544|Отрадное Кировский Р-Н|['Отрадное', 'Кировский']
1545|Сокол Вологда|['Сокол', 'Вологда']
1546|Похоже, У Сбера Появилось Мгновенное Зачисление На Карты|['Мугарты']
1547|Псков Санкт-Петербург |['Псков', 'Санкт-Петербург']
1548|Салават|['Салават']
1549|Лен. Всеволожск|['Всеволожск']
1550|Мо. Черноголовка|['Черноголовка']
1551|Луховицы Москва|['Луховицы', 'Москва']
1552|Реутов|['Реутов']
1553|В Москве|[]
1554|Одинцово Москва |['Одинцово', 'Москва']
1555|Каменск -Шахтинский|['Каменск-Шахтинский']
1556|Ростов-На-Дону Бул. Комарова Б|['Ростов-на-Дону', 'Штул', 'Комарова Гора']
1557|Черкесск Краснодар |['Черкесск', 'Краснодар']
1558|Пгт Пристень|['Пристень']
1559|Москва И Другие|['Москва']
1560|Грозный|['Грозный']
1561|Иркутск |['Иркутск']
1562|Брянск Сочи |['Брянск', 'Сочи']
1563| Смородино|['Смородино']
1564|Верхнеуральск|['Верхнеуральск']
1565|Каракулино|['Каракулино']
1566|Усмань|['Усмань']
1567|Всеволожск Ленинградская.|['Всеволожск', 'Ленинградская']
1568|По Правдинский|['По', 'Правдинский']
1569|Усолье-Сибирское|['Усолье-Сибирское']
1570|Не Зависит От |[]
1571|Курск Санкт-Петербург |['Курск', 'Санкт-Петербург']
1572|Мостовской|['Мостовской']
1573|Нижегородская|['Нижегородская']
1574|Учье Еврейская |['Бычье']
1575|Юрьев-Польский|['Юрьев-Польский']
1576|Наро-Фоминск Москва |['Наро-Фоминск', 'Москва']
1577|Серов|['Серов']
1578|Чита |['Чита']
1579|Пгт Запрудня Москва|['Запрудня', 'Москва']
1580|Зеленогорский|['Зеленогорский']
1581|Раевский|['Раевский']
1582|Москва-Спб|[]
1583|Н Д|[]
1584|С.Протасово Озерского Р-На Московской.|['Протасово']
1585|Пос.Правдинский|['Правдинский']
1586|Нижний Новгород Бор|['Нижний Новгород', 'Бор']
1587|Зеленоград - Ивантеевка|[]
1588|Лучегорск|['Лучегорск']
1589|Нытва|['Нытва']
1590|Искитим |['Искитим']
1591|Ужур |['Ужур']
1592|Владивосток - Санкт-Петербург|['Санкт-Петербург']
1593|Саратов Рязань|['Саратов', 'Рязань']
1594|Массква|[]
1595|Хедмарк|[]
1596|Солнечногорский Р-Н|['Солнечногорск']
1597|Волгоградский Филиал Бинбанка На -Те Ленина|['Новоградский', 'Филиал', 'Елбанка', 'Сенина']
1598|Моздок|['Моздок']
1599|Пос.Красноармейский Пер.Красноармейский|['Красноармейский', 'Шин Мер', 'Красноармейский']
1600|Грайворон|['Грайворон']
1601|Богородицк|['Богородицк']
1602|Демидов|['Демидов']
1603|Федоровский|['Федоровский']
1604|Королёв.|[]
1605|Калининград Санкт-Петербург|['Калининград', 'Санкт-Петербург']
1606|Г Мензелинск|['Мензелинск']
1607|Уфа-Кстово-Тобольск Уфа|['Тобольск', 'Уфа']
1608|Егорлыкская Станица Ростов-На-Дону|['Егорлыкская', 'Старая Станица', 'Ростов-на-Дону']
1609|Москва-Подольск|['Подольск']
1610|Москва Курск|['Москва', 'Курск']
1611|Сергиев-Посад|['Сергиев Посад']
1612|Г .Уфа|['Уфа']
1613|Пос Красково|['Урасково']
1614|Спирово|['Спирово']
1615|Хельсинки Финляндия Москва|['Хельсинки', 'Москва']
1616|Куала-Лумпур|['Куала-Лумпур']
1617|Краснознаменск Мо|['Краснознаменск']
1618|Клетская|['Клетская']
1619|Ликино|['Ликино']
1620|Софрино-1|['Янино-1']
1621|Мурмаши|['Мурмаши']
1622|Ижевск Москва |['Ижевск', 'Москва']
1623|Майкоп|['Майкоп']
1624|Отрадное|['Отрадное']
1625|Сбербанк|[]
1626|Карты|['Мугарты']
1627|Усть-Качка|['Усть-Качка']
1628|Семилуки Воронеж|['Семилуки', 'Воронеж']
1629|Агаповка|['Агаповка']
1630|Электрогорск Москва|['Электрогорск', 'Москва']
1631|Солнечногорск-|['Солнечногорск']
1632|П. Февральск|['Февральск']
1633|Посёлок Одоев|['Одоев']
1634|Кемерово Новосибирск|['Кемерово', 'Новосибирск']
1635|Торопец|['Торопец']
1636|Алатырь|['Алатырь']
1637|Н.Челны|['Челны']
1638|Чалтырь|['Чалтырь']
1639| Ачинск|['Ачинск']
1640|Большой Камень|['Большой Камень']
1641| С.Каргасок|['Каргасок']
1642| Климовск|['Климовск']
1643|П Первомайский Щекинский Р Н|"['""Первомайский""', 'Шебекинский']"
1644|Черемшан|['Черемшан']
1645|Как|['Пак']
1646|Белгород Воронеж |['Белгород', 'Воронеж']
1647|Шлиссельбург|['Шлиссельбург']
1648|Макеевка|['Макеевка']
1649|Мичуринска|['Мичуринск']
1650|Моск. Королев|['Лоск', 'Королев']
